Season,Team,GP,W,L,OL,PTS%
2018-19,Boston Bruins,82,49,24,9,.652
2017-18,Boston Bruins,82,50,20,12,.683
2016-17,Boston Bruins,82,44,31,7,.579
2015-16,Boston Bruins,82,42,31,9,.567
2014-15,Boston Bruins,82,41,27,14,.585
2013-14,Boston Bruins,82,54,19,9,.713
2012-13,Boston Bruins,48,28,14,6,.646
2011-12,Boston Bruins,82,49,29,4,.622
2010-11,Boston Bruins,82,46,25,11,.628
2009-10,Boston Bruins,82,39,30,13,.555
2008-09,Boston Bruins,82,53,19,10,.707
2007-08,Boston Bruins,82,41,29,12,.573
